zipcode,latest_saleyear,averagePrice
78617,2018,193990.4827586207
78619,2018,650000.0
78660,2018,250109.625
78701,2018,571300.0
78702,2018,448604.8396226415
78703,2018,1122031.415841584
78704,2018,744140.5287958115
78705,2018,506881.8181818182
78717,2018,407792.52173913043
78719,2018,250000.0
78721,2018,354626.8985507246
78722,2018,435222.6923076923
78723,2018,398131.3885350319
78724,2018,254167.57352941178
78725,2018,200953.28846153847
78726,2018,483669.98333333334
78727,2018,337529.93333333335
78728,2018,274423.50724637683
78729,2018,307014.36893203884
78730,2018,937407.2328767123
78731,2018,811224.0952380953
78732,2018,701210.9572192513
78733,2018,981210.1428571428
78734,2018,1036187.5
78735,2018,979155.6210526315
78736,2018,370190.9705882353
78737,2018,531129.1366906475
78739,2018,526146.3089887641
78741,2018,333902.10909090907
78742,2018,197500.0
78744,2018,235868.01869158878
78745,2018,337622.9003558719
78746,2018,1428643.186440678
78747,2018,282410.93913043477
78748,2018,308323.8679867987
78749,2018,382018.25531914894
78750,2018,546095.7604166666
78751,2018,601044.425925926
78752,2018,328597.79591836734
78753,2018,257188.78676470587
78754,2018,248076.25
78756,2018,648344.1470588235
78757,2018,483937.41104294476
78758,2018,302999.20560747664
78759,2018,495563.8926553672
78617,2019,200321.18181818182
78619,2019,743965.0
78653,2019,369900.0
78660,2019,285695.4166666667
78701,2019,3495000.0
78702,2019,498686.2686567164
78703,2019,1181184.087378641
78704,2019,801809.4198113207
78705,2019,658422.4137931034
78717,2019,424404.9689440994
78721,2019,335824.256097561
78722,2019,479290.358974359
78723,2019,416663.5294117647
78724,2019,271934.3333333333
78725,2019,215552.10344827586
78726,2019,499315.5333333333
78727,2019,375698.275862069
78728,2019,292671.8181818182
78729,2019,334509.3793103448
78730,2019,1003678.4691358025
78731,2019,919896.3296703297
78732,2019,660198.8
78733,2019,1126888.2048192772
78734,2019,1775000.0
78735,2019,951194.5666666667
78736,2019,417188.8793103448
78737,2019,506211.2863636364
78738,2019,697000.0
78739,2019,531059.449339207
78741,2019,364419.8125
78744,2019,258333.4176470588
78745,2019,341094.9943019943
78746,2019,1197513.5714285714
78747,2019,293248.1287878788
78748,2019,313358.5893719807
78749,2019,381030.6273062731
78750,2019,590180.8319327731
78751,2019,535426.7936507936
78752,2019,334766.78571428574
78753,2019,276287.14525139664
78754,2019,254445.55263157896
78756,2019,679290.0363636364
78757,2019,506361.09523809527
78758,2019,326232.7361111111
78759,2019,512099.535
78617,2020,198750.39130434784
78619,2020,784800.0
78652,2020,375339.75
78653,2020,297490.0
78660,2020,303125.25
78702,2020,573461.1854304635
78703,2020,1254743.6170212766
78704,2020,924361.2533783783
78705,2020,893618.6875
78717,2020,466063.62941176473
78719,2020,333225.0
78721,2020,386779.96078431373
78722,2020,523351.51515151514
78723,2020,471848.83628318587
78724,2020,305087.3
78725,2020,259179.96078431373
78726,2020,536907.2638888889
78727,2020,419391.56462585035
78728,2020,326122.32584269665
78729,2020,375156.2121212121
78730,2020,1109442.6741573033
78731,2020,935859.9018404908
78732,2020,750005.1435185185
78733,2020,1070022.2727272727
78734,2020,1649625.0
78735,2020,1009542.2688172043
78736,2020,419269.67142857146
78737,2020,581908.0
78739,2020,577840.075
78741,2020,407810.16279069765
78742,2020,222450.0
78744,2020,295925.35751295334
78745,2020,392596.37965260545
78746,2020,1671943.75
78747,2020,305820.7894736842
78748,2020,342922.82938388624
78749,2020,420125.1849056604
78750,2020,602914.5238095238
78751,2020,571317.3888888889
78752,2020,419710.6382978723
78753,2020,316358.192
78754,2020,268185.17272727273
78756,2020,734427.2549019608
78757,2020,565616.5392670158
78758,2020,374758.41134751774
78759,2020,544940.0384615385
